# [DATA] 지은 담당. 수기 검산 필요. 국립농업과학원 식품성분표 등 참고 추정치.
# 100g 기준. 재료명은 현지 담당 모델 클래스명과 정확히 일치시킴(괄호/띄어쓰기 포함).
# 가공식품(소세지, 참치통조림, 체다치즈 등)은 대표 제품 기준 근사치이며 실제 라벨과 다를 수 있음.
ingredient_name,calories_kcal,carbohydrate_g,protein_g,fat_g,calcium_mg,iron_mg,vitamin_c_mg
감자,67,15.08,2.01,0.04,9,0.58,10.51
토마토,19,4.26,1.03,0.18,9,0.19,14.16
가지,19,4.36,1.13,0.03,16,0.26,0
양배추,29,6.98,1.36,0.12,45,0.22,28.79
파프리카,26,6.42,0.91,0.13,6,0.37,91.75
당근,31,7.03,1.02,0.13,24,0.28,3.02
삼겹살,372,0.0,13.9,33.31,8.0,0.49,0.59
양파,29,6.52,0.96,0.17,16,0.2,4.93
계란,140,1.07,12.86,8.51,46,1.9,0
마늘,128,26.42,7.45,0.16,12,0.78,8.45
두부,97,3.75,9.62,4.63,64,1.54,0
체다치즈,298,6.17,18.76,21.3,626,0.09,0.07
쌀,366,78.74,6.81,1.05,7,0.24,0
소면,370,74.88,10.36,1.27,19,0.82,0.34
팽이버섯,21,7.08,2.48,0.52,1,1.1,0
대파,23,4.8,1.78,0.15,24,0.82,3.55
비엔나소세지,251,15.27,9.36,16.91,30,0.74,34.1
참치통조림,210,0,19,15,5,1.0,0
오이,13,2.79,1.06,0.05,18,0.2,11.25
배추김치,38,6.49,1.98,0.43,43,0.43,3.59
닭고기,115,0.1,24,1.4,11,1.1,0
